listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,booked_365,revenue,rent_term
33023887,Bangkok house near Udom Suk sky train station,215166080,Eric,Bang Na,13.67436,100.63879,Entire home/apt,2597,3,0,,0.0,1,0,0,365,947905,Short
33024691,Chatuchak Park BrandNew Condo & 5-star Facilities,248564618,Gerard,Phaya Thai,13.79486,100.54924,Entire home/apt,1300,21,33,2022-07-21,0.73,1,310,2,55,71500,Short
32881277,Studio room near Nana Skytrain Centre BKK 03,108026474,Orathai,Khlong Toei,13.73654,100.55433,Entire home/apt,1212,2,68,2022-12-12,1.49,4,71,15,294,356328,Short
32881980,Studio room near Nana Skytrain Centre BKK 04,108026474,Orathai,Khlong Toei,13.73752,100.55331,Entire home/apt,1165,2,58,2022-11-26,1.27,4,123,13,242,281930,Short
32882941,Best View/Superb condo,199624792,Ho,Vadhana,13.7396,100.58862,Entire home/apt,1450,21,4,2022-07-15,0.09,23,149,3,216,313200,Short
32884080,Skyline Condo/ Pool+Gym+Shuttle bus,199624792,Ho,Vadhana,13.74137,100.59024,Entire home/apt,1400,21,2,2022-09-30,0.45,23,134,2,231,323400,Short
32884559,Boutique Condo/ shopping/luxury condo/skyline,199624792,Ho,Vadhana,13.74083,100.59086,Entire home/apt,1400,21,4,2022-11-22,0.48,23,156,4,209,292600,Short
32896505,top location on junction bts/mrt,104769188,Yan,Khlong Toei,13.70943,100.59896,Entire home/apt,3500,15,0,,0.0,9,365,0,0,0,Short
32902767,Super skyline/Pool+Gym+free shuttle bus bkce22,199624792,Ho,Vadhana,13.74072,100.59078,Entire home/apt,1450,21,0,,0.0,23,160,0,205,297250,Short
32903147,Family Suite Room,147470479,Suriya,Phra Nakhon,13.76726,100.50172,Private room,2036,1,5,2022-09-10,0.12,5,351,1,14,28504,Short
32903204,4-Bed Dormitory,147470479,Suriya,Phra Nakhon,13.76865,100.50139,Shared room,476,1,19,2022-12-06,0.48,5,364,6,1,476,Short
32903919,Luxury condo/Superb skyline view bkce21,199624792,Ho,Vadhana,13.73937,100.59028,Entire home/apt,1450,21,0,,0.0,23,134,0,231,334950,Short
32904357,Luxury 2 Beds/Central World/Lumpini Park/Siam,20133201,Willam,Ratchathewi,13.75094,100.55649,Entire home/apt,2814,2,28,2021-03-25,0.61,33,292,0,73,205422,Short
32906302,Mix Crow,242296638,Jimmy,Ratchathewi,13.75906,100.54008,Shared room,2700,1,0,,0.0,5,180,0,185,499500,Short
32910316,近火车夜大卧室大客厅大床中文房东820,119203329,Leona,Huai Khwang,13.75598,100.57655,Entire home/apt,900,30,23,2020-01-31,0.51,20,74,0,291,261900,Long
32910610,Sir @ Castle Black Bangkok,242296638,Jimmy,Ratchathewi,13.75937,100.54171,Private room,1300,1,0,,0.0,5,180,0,185,240500,Short
32715709,"Rooftop Infinity Sky Pool , Nerr to Central World",133849226,Aidan,Ratchathewi,13.75007,100.54311,Entire home/apt,2445,28,85,2022-06-28,1.84,20,159,2,206,503670,Short
32716795,2 cozy BRs/China Embassy/Train Market/MRT,70728816,Ella,Huai Khwang,13.75954,100.57052,Entire home/apt,1800,5,57,2022-12-11,1.23,6,300,11,65,117000,Short
32725938,Luxury condo@Superb skyline view,128943709,Rain,Vadhana,13.73945,100.58881,Entire home/apt,2100,21,1,2022-08-20,0.23,26,139,1,226,474600,Short
33024940,246 House KingBR Walk to Grand Palace & Wat Pho,248201804,Patanee,Phra Nakhon,13.74853,100.49624,Private room,914,1,78,2022-12-18,1.77,4,108,21,257,234898,Short
33029571,Loft21 Suvarnabhumi Studio,47634456,Poompong,Lat Krabang,13.76255,100.74873,Private room,590,1,5,2022-11-16,0.55,4,353,5,12,7080,Short
33030609,-Lovely 1BR-BTS Asok/MRT Sukhumvit/Terminal 21-,62257044,Ludoping,Khlong Toei,13.73716,100.55746,Entire home/apt,1797,5,31,2022-12-14,0.73,56,166,22,199,357603,Short
32726137,Luxury condo@Superb skyline view,128943709,Rain,Vadhana,13.741,100.59042,Entire home/apt,2100,15,4,2022-12-10,0.4,26,163,4,202,424200,Short
32726372,Pine Place @Sukhumvit 50,14436537,Pinn,Khlong Toei,13.70483,100.59124,Entire home/apt,1200,3,4,2022-12-10,0.09,2,353,2,12,14400,Short
32915949,Convenient & Good Price to Stay,160661192,Porla,Suanluang,13.73823,100.64294,Private room,866,30,0,,0.0,2,180,0,185,160210,Long
32726641,New comfy studio/City Center/Pool/Pratunam/BTS,227240004,Hyde Park,Ratchathewi,13.757523536682127,100.5433349609375,Private room,1599,1,3,2020-01-06,0.07,8,359,0,6,9594,Short
32924647,Craftsman Bangkok Two bedrooms,196741252,Piyanit,Phaya Thai,13.78649,100.54509,Private room,4360,1,2,2020-01-01,0.04,9,0,0,365,1591400,Short
32730226,Room 3th| ON NUT BTS| Wifi Condo,158654054,Erica,Khlong Toei,13.70388,100.5953,Entire home/apt,875,30,15,2022-09-27,0.32,27,83,4,282,246750,Long
32730743,Room 16th| ON NUT BTS| Wifi Condo,158654054,Erica,Khlong Toei,13.7147,100.59057,Entire home/apt,776,30,9,2022-11-11,0.19,27,65,2,300,232800,Long
32731213,Room26th| ON NUT BTS| Wifi Condo,158654054,Erica,Khlong Toei,13.70538,100.5931,Entire home/apt,777,30,22,2022-11-01,0.48,27,60,1,305,236985,Long
32731465,Room17th|  ON NUT BTS| Wifi Condo,158654054,Erica,Khlong Toei,13.70509,100.59398,Entire home/apt,776,28,2,2019-05-05,0.04,27,343,0,22,17072,Short
32731579,Room2th| ON NUT BTS| Wifi Condo,158654054,Erica,Khlong Toei,13.70496,100.59389,Entire home/apt,682,30,12,2022-06-12,0.26,27,166,1,199,135718,Long
32736541,紧邻地铁站网红天空270度无边泳池曼谷日出晚霞夜景湄南河大皇宫空叻马荣水上市场,181615772,Live In Thai,Bang Phlat,13.79925,100.50795,Entire home/apt,522,31,1,2022-05-22,0.14,2,169,1,196,102312,Long
33035188,"Pool Villa @ Donmaung 2 Bedrooms, 1king&1Queen bed",248396375,Amy,Don Mueang,13.95139,100.61643,Private room,3360,1,43,2022-06-28,0.95,5,266,1,99,332640,Short
32740146,Bunk Bed 4persons,246192694,Kosum 38,Don Mueang,13.91387,100.57577,Hotel room,678,1,0,,0.0,4,365,0,0,0,Short
33037687,Cozy-Comfy-Clean | 4 min walk to BTS | SiamBangkok,165988847,Haosen & Zuzi,Ratchathewi,13.75229,100.52976,Entire home/apt,2000,180,4,2020-04-07,0.09,1,0,0,365,730000,Long
33047916,246 House Family BR Walk to Grand Palace & Wat Pho,248201804,Patanee,Phra Nakhon,13.74688,100.49618,Private room,1857,1,65,2022-11-23,1.44,4,261,11,104,193128,Short
33048017,Pura Vida Hostel Bangkok,248741250,Miguel,Phra Nakhon,13.76541,100.50022,Private room,1500,1,0,,0.0,1,180,0,185,277500,Short
32926974,Life style,247727526,Charin,Khlong San,13.73248,100.5102,Entire home/apt,500,5,23,2022-12-26,0.56,1,82,7,283,141500,Short
32750816,1 Lovely bedroom with balcony & unblocked views,131270916,Magic,Khlong San,13.72133,100.49308,Entire home/apt,1300,30,14,2022-11-25,0.3,33,148,3,217,282100,Long
32927630,"Comfy &Convenient Room,Jatujak Market,BTS,MRT,BigC",14751074,Kannika,Chatu Chak,13.79656,100.5512,Entire home/apt,1329,20,28,2022-12-10,0.62,3,278,10,87,115623,Short
32929190,2BR-CHILL OUT LOFT-Phra Khanong BTS-漂亮的房子,4138170,Kevin,Vadhana,13.72093,100.6049,Entire home/apt,1675,1,122,2022-12-20,2.7,11,319,36,46,77050,Short
32934252,TermTem House,183842811,Raphisan,Chatu Chak,13.80376,100.57754,Private room,700,1,0,,0.0,1,90,0,275,192500,Short
32753312,BKK center BIG 3 bedrooms apartment near BTS,46224081,Orranart,Bang Rak,13.7259,100.53131,Entire home/apt,4000,1,43,2022-11-22,0.93,10,329,13,36,144000,Short
32755430,BanMaePPom,237971515,Pimpakan,Bang Khun thain,13.63228,100.42739,Private room,717,1,0,,0.0,2,180,0,185,132645,Short
32943644,Entire home near the airport & Mega Bangna,14704050,Faymila,Pra Wet,13.69332,100.69943,Private room,900,2,3,2020-01-24,0.07,1,173,0,192,172800,Short
32944607,THE LUCKY CHARMING SUITE :2BR /WIFI /POOL/RCA/MRT,132745392,Mt,Huai Khwang,13.76099,100.56765,Entire home/apt,3114,1,33,2022-11-20,0.74,25,90,11,275,856350,Short
32944658,Pastel House Hostel Ratchada near MRT Suthisarn 6,209239986,Manisra,Din Daeng,13.79039,100.5742,Private room,700,1,18,2022-06-25,0.39,6,355,2,10,7000,Short
